,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
6576,1438856265963294722,1438844654028394502,2021-09-17 09:24:01 Eastern Daylight Time,2021-09-17,09:24:01,-400,1121576921458970624,ayo_elisha868,👑Honcho🇹🇹👹Hombre Rojo®️,,@snkr_twitr T mobile got a deal if u trade in your 11 pro they give u 1000$ to go for the iPhone 13,en,[],[],[],1,0,1,[],[],https://twitter.com/Ayo_Elisha868/status/1438856265963294722,False,,0,,,,,,,,"[{'screen_name': 'snkr_twitr', 'name': 'SNKR_TWITR', 'id': '574186881'}]",,,,
6577,1438856261282508801,1438856261282508801,2021-09-17 09:24:00 Eastern Daylight Time,2021-09-17,09:24:00,-400,2837548060,ttttemas,Temas,,iPhone 13 Pro pre-ordered 👍,en,[],[],[],0,0,0,[],[],https://twitter.com/ttttemas/status/1438856261282508801,False,,0,,,,,,,,[],,,,
6579,1438856238473916420,1438793529547972608,2021-09-17 09:23:54 Eastern Daylight Time,2021-09-17,09:23:54,-400,1370078473683865611,slice_of_l1ght,Gabbag00l,,@EndGame2100 So no iphone 13 for you then huh,en,[],[],[],0,0,0,[],[],https://twitter.com/slice_of_l1ght/status/1438856238473916420,False,,0,,,,,,,,"[{'screen_name': 'EndGame2100', 'name': 'C 12 H 16 N 2 🌋☄ ∞/21M', 'id': '1355543525157457924'}]",,,,
6580,1438856236913528832,1438856236913528832,2021-09-17 09:23:54 Eastern Daylight Time,2021-09-17,09:23:54,-400,2847821653,druhamma1,Mr Peabody,,"I really had this same iPhone 8 Plus since it came out, I deserve this iPhone 13. Everybody always talking about my phone 😂😂😂",en,[],[],[],2,1,0,[],[],https://twitter.com/druhamma1/status/1438856236913528832,False,,0,,,,,,,,[],,,,
6583,1438856219666620422,1438856219666620422,2021-09-17 09:23:50 Eastern Daylight Time,2021-09-17,09:23:50,-400,1263220725692891138,rosswang_,Ross Wang,,Iphone 13 black who?,en,[],[],[],0,0,0,[],[],https://twitter.com/rosswang_/status/1438856219666620422,False,https://twitter.com/aintlies/status/1438428824119676931,0,,,,,,,,[],,,,
6584,1438856214956232704,1438856214956232704,2021-09-17 09:23:48 Eastern Daylight Time,2021-09-17,09:23:48,-400,1395717988553158660,iziahtiav,Iziah,,just swapped to @Optus for more of a chance - successful indeed 😋 iPhone 13 Pro Max in Sierra Blue 1TB  @Telstra = hopeless,en,"[{'screen_name': 'optus', 'name': 'optus', 'id': '48201591'}, {'screen_name': 'telstra', 'name': 'telstra', 'id': '61636429'}]",[],[],1,0,2,[],[],https://twitter.com/iziahtiav/status/1438856214956232704,False,,0,,,,,,,,[],,,,
6586,1438856189199228928,1438856189199228928,2021-09-17 09:23:42 Eastern Daylight Time,2021-09-17,09:23:42,-400,424574819,meechie400blk,Mᴇᴇᴄʜɪᴇ,,"What’s the release date fa the iPhone 13 📱 , Ima Gone n Upgrade n put my 11 Pro Too Rest.",en,[],[],[],0,0,0,[],[],https://twitter.com/Meechie400blk/status/1438856189199228928,False,,0,,,,,,,,[],,,,
6588,1438856147033890820,1438856147033890820,2021-09-17 09:23:32 Eastern Daylight Time,2021-09-17,09:23:32,-400,4320496431,pianaaaaaa,piano 💕,,that sierra blue iphone 13 look so nicee,en,[],[],[],1,1,1,[],[],https://twitter.com/pianaaaaaa/status/1438856147033890820,False,,0,,,,,,,,[],,,,
6593,1438856117493370888,1438856054457184256,2021-09-17 09:23:25 Eastern Daylight Time,2021-09-17,09:23:25,-400,1362860562359734277,appletester_rus,Yaroslav Gavrilov ,,"of different parameters, the iPhone 13 Pro turned out to be faster than the iPhone 12 Pro in terms of the CPU, graphics accelerator and memory — an increase of 17%, 19% and 44%, respectively. As you can see, the most significant improvement occurred precisely in terms of memory,",en,[],[],[],1,0,0,[],[],https://twitter.com/appletester_rus/status/1438856117493370888,False,,0,,,,,,,,[],,,,
6594,1438856113961766916,1438856113961766916,2021-09-17 09:23:24 Eastern Daylight Time,2021-09-17,09:23:24,-400,186045160,loso_boogie,IM OUTSIDE,,iphone 13 ordered,en,[],[],[],0,0,0,[],[],https://twitter.com/Loso_Boogie/status/1438856113961766916,False,,0,,,,,,,,[],,,,
6595,1438856106567258116,1438835342589579272,2021-09-17 09:23:23 Eastern Daylight Time,2021-09-17,09:23:23,-400,15133627,o2,O2 in the UK,,"@lfcwhore Blue light discount isn't available on the iPhone 13 range at the moment, we're afraid.",en,[],[],[],0,0,0,[],[],https://twitter.com/O2/status/1438856106567258116,False,,0,,,,,,,,"[{'screen_name': 'lfcwhore', 'name': 'Char.', 'id': '3057511276'}]",,,,
